,stock_id
321,020010
322,020011
323,020012
324,020013
325,020014
326,020015
327,020016
328,020017
329,020018
330,020019
331,02001B
332,02001L
333,02001R
334,02001S
335,020020
336,020021
337,020022
338,020023
339,020024
340,020025
341,020026
342,020027
343,020028
344,020029
345,02002L
346,020030
347,020031
348,020032
349,020033
350,020034
351,020035
352,020036
353,020037
354,020038
355,020039
356,02003L
357,020040
358,020041
359,1101
360,1101B
361,1102
362,1103
363,1104
364,1107
365,1108
366,1109
367,1110
368,1201
369,1203
370,1210
371,1213
372,1215
373,1216
374,1217
375,1218
376,1219
377,1220
378,1225
379,1227
380,1229
381,1230
382,1231
383,1232
384,1233
385,1234
386,1235
387,1236
388,1240
389,1256
390,1258
391,1259
392,1259
393,1262
394,1264
395,1268
396,1268
397,1301
398,1303
399,1304
400,1305
401,1307
402,1308
403,1309
404,1310
405,1311
406,1312
407,1312A
408,1313
409,1314
410,1315
411,1316
412,1319
413,1321
414,1323
415,1324
416,1325
417,1326
418,1336
419,1337
420,1338
421,1339
422,1340
423,1341
424,1342
425,1402
426,1409
427,1410
428,1413
429,1414
430,1416
431,1417
432,1418
433,1419
434,1423
435,1432
436,1432
437,1434
438,1435
439,1436
440,1437
441,1438
442,1439
443,1439
444,1440
445,1441
446,1442
447,1443
448,1443
449,1444
450,1445
451,1446
452,1447
453,1449
454,1451
455,1452
456,1453
457,1453
458,1454
459,1455
460,1456
461,1456
462,1457
463,1459
464,1460
465,1463
466,1464
467,1465
468,1466
469,1467
470,1468
471,1469
472,1470
473,1471
474,1471
475,1472
476,1472
477,1473
478,1474
479,1475
480,1476
481,1477
482,1503
483,1504
484,1506
485,1507
486,1512
487,1513
488,1514
489,1515
490,1516
491,1517
492,1519
493,1520
494,1521
495,1522
496,1522A
497,1523
498,1524
499,1525
500,1526
501,1527
502,1528
503,1529
504,1530
505,1531
506,1532
507,1533
508,1535
509,1536
510,1537
511,1538
512,1539
513,1540
514,1541
515,1558
516,1560
517,1565
518,1568
519,1569
520,1570
521,1580
522,1582
523,1582
524,1583
525,1584
526,1586
527,1587
528,1589
529,1590
530,1591
531,1592
532,1593
533,1593
534,1595
535,1597
536,1598
537,1598
538,1598
539,1599
540,1601
541,1603
542,1604
543,1605
544,1606
545,1608
546,1609
547,1611
548,1612
549,1613
550,1614
551,1615
552,1616
553,1617
554,1618
555,1626
556,1701
557,1701
558,1702
559,1704
560,1704
561,1707
562,1707
563,1708
564,1708
565,1709
566,1709
567,1710
568,1710
569,1711
570,1711
571,1712
572,1712
573,1713
574,1713
575,1714
576,1714
577,1715
